,Date,Hour,TempAvgF
0,2016-01-01,1,46
1,2016-01-01,2,46
2,2016-01-01,3,46
3,2016-01-01,4,46
4,2016-01-01,5,46
5,2016-01-01,6,46
6,2016-01-01,7,46
7,2016-01-01,8,46
8,2016-01-01,9,46
9,2016-01-01,10,46
10,2016-01-01,11,46
11,2016-01-01,12,46
12,2016-01-01,13,46
13,2016-01-01,14,46
14,2016-01-01,15,46
15,2016-01-01,16,46
16,2016-01-01,17,46
17,2016-01-01,18,46
18,2016-01-01,19,46
19,2016-01-01,20,46
20,2016-01-01,21,46
21,2016-01-01,22,46
22,2016-01-01,23,46
23,2016-01-01,24,46
24,2016-01-02,1,45
25,2016-01-02,2,45
26,2016-01-02,3,45
27,2016-01-02,4,45
28,2016-01-02,5,45
29,2016-01-02,6,45
30,2016-01-02,7,45
31,2016-01-02,8,45
32,2016-01-02,9,45
33,2016-01-02,10,45
34,2016-01-02,11,45
35,2016-01-02,12,45
36,2016-01-02,13,45
37,2016-01-02,14,45
38,2016-01-02,15,45
39,2016-01-02,16,45
40,2016-01-02,17,45
41,2016-01-02,18,45
42,2016-01-02,19,45
43,2016-01-02,20,45
44,2016-01-02,21,45
45,2016-01-02,22,45
46,2016-01-02,23,45
47,2016-01-02,24,45
48,2016-01-03,1,52
49,2016-01-03,2,52
50,2016-01-03,3,52
51,2016-01-03,4,52
52,2016-01-03,5,52
53,2016-01-03,6,52
54,2016-01-03,7,52
55,2016-01-03,8,52
56,2016-01-03,9,52
57,2016-01-03,10,52
58,2016-01-03,11,52
59,2016-01-03,12,52
60,2016-01-03,13,52
61,2016-01-03,14,52
62,2016-01-03,15,52
63,2016-01-03,16,52
64,2016-01-03,17,52
65,2016-01-03,18,52
66,2016-01-03,19,52
67,2016-01-03,20,52
68,2016-01-03,21,52
69,2016-01-03,22,52
70,2016-01-03,23,52
71,2016-01-03,24,52
72,2016-01-04,1,48
73,2016-01-04,2,48
74,2016-01-04,3,48
75,2016-01-04,4,48
76,2016-01-04,5,48
77,2016-01-04,6,48
78,2016-01-04,7,48
79,2016-01-04,8,48
80,2016-01-04,9,48
81,2016-01-04,10,48
82,2016-01-04,11,48
83,2016-01-04,12,48
84,2016-01-04,13,48
85,2016-01-04,14,48
86,2016-01-04,15,48
87,2016-01-04,16,48
88,2016-01-04,17,48
89,2016-01-04,18,48
90,2016-01-04,19,48
91,2016-01-04,20,48
92,2016-01-04,21,48
93,2016-01-04,22,48
94,2016-01-04,23,48
95,2016-01-04,24,48
96,2016-01-05,1,46
97,2016-01-05,2,46
98,2016-01-05,3,46
99,2016-01-05,4,46
100,2016-01-05,5,46
101,2016-01-05,6,46
102,2016-01-05,7,46
103,2016-01-05,8,46
104,2016-01-05,9,46
105,2016-01-05,10,46
106,2016-01-05,11,46
107,2016-01-05,12,46
