datetime,datetime,Seattle,Seattle (F),hour
2012-10-01 13:00:00,2012-10-01 13:00:00,281.8,47.56999999999999,13
2012-10-01 14:00:00,2012-10-01 14:00:00,281.797216632,47.56498993759999,14
2012-10-01 15:00:00,2012-10-01 15:00:00,281.789832606,47.55169869079998,15
2012-10-01 16:00:00,2012-10-01 16:00:00,281.78244858,47.53840744399997,16
2012-10-01 17:00:00,2012-10-01 17:00:00,281.775064553,47.52511619539996,17
2012-10-01 18:00:00,2012-10-01 18:00:00,281.767680527,47.51182494859995,18
2012-10-01 19:00:00,2012-10-01 19:00:00,281.76029650099997,47.498533701799886,19
2012-10-01 20:00:00,2012-10-01 20:00:00,281.752912474,47.48524245319999,20
2012-10-01 21:00:00,2012-10-01 21:00:00,281.745528448,47.47195120639998,21
2012-10-01 22:00:00,2012-10-01 22:00:00,281.738144422,47.45865995959997,22
2012-10-01 23:00:00,2012-10-01 23:00:00,281.730760395,47.44536871099996,23
2012-10-02 00:00:00,2012-10-02 00:00:00,281.723376369,47.43207746419995,0
2012-10-02 01:00:00,2012-10-02 01:00:00,281.715992342,47.41878621559994,1
2012-10-02 02:00:00,2012-10-02 02:00:00,281.708608316,47.40549496879993,2
2012-10-02 03:00:00,2012-10-02 03:00:00,281.70122429,47.39220372200003,3
2012-10-02 04:00:00,2012-10-02 04:00:00,281.69384026299997,47.37891247339991,4
2012-10-02 05:00:00,2012-10-02 05:00:00,281.686456237,47.36562122660001,5
2012-10-02 06:00:00,2012-10-02 06:00:00,281.679072211,47.35232997979995,6
2012-10-02 07:00:00,2012-10-02 07:00:00,281.671688184,47.33903873119999,7
2012-10-02 08:00:00,2012-10-02 08:00:00,281.664304158,47.325747484399926,8
2012-10-02 09:00:00,2012-10-02 09:00:00,281.656920132,47.31245623759992,9
2012-10-02 10:00:00,2012-10-02 10:00:00,281.649536105,47.299164988999905,10
2012-10-02 11:00:00,2012-10-02 11:00:00,281.642152079,47.28587374220001,11
2012-10-02 12:00:00,2012-10-02 12:00:00,281.634768053,47.2725824954,12
2012-10-02 13:00:00,2012-10-02 13:00:00,281.62738402599996,47.259291246799876,13
2012-10-02 14:00:00,2012-10-02 14:00:00,281.62,47.24599999999998,14
2012-10-02 15:00:00,2012-10-02 15:00:00,282.71,49.20799999999991,15
2012-10-02 16:00:00,2012-10-02 16:00:00,285.05,53.420000000000016,16
2012-10-02 17:00:00,2012-10-02 17:00:00,287.97,58.67599999999999,17
2012-10-02 18:00:00,2012-10-02 18:00:00,290.61,63.42799999999994,18
2012-10-02 19:00:00,2012-10-02 19:00:00,292.06,66.03799999999995,19
2012-10-02 20:00:00,2012-10-02 20:00:00,293.68,68.95400000000001,20
2012-10-02 21:00:00,2012-10-02 21:00:00,295.32,71.90599999999989,21
2012-10-02 22:00:00,2012-10-02 22:00:00,295.18,71.65399999999994,22
2012-10-02 23:00:00,2012-10-02 23:00:00,296.11,73.32800000000003,23
2012-10-03 00:00:00,2012-10-03 00:00:00,295.24,71.762,0
2012-10-03 01:00:00,2012-10-03 01:00:00,294.38,70.214,1
2012-10-03 02:00:00,2012-10-03 02:00:00,292.28,66.43399999999991,2
2012-10-03 03:00:00,2012-10-03 03:00:00,291.12,64.34599999999995,3
2012-10-03 04:00:00,2012-10-03 04:00:00,289.93,62.20400000000001,4
2012-10-03 05:00:00,2012-10-03 05:00:00,287.87,58.495999999999924,5
2012-10-03 06:00:00,2012-10-03 06:00:00,287.14,57.18199999999996,6
2012-10-03 07:00:00,2012-10-03 07:00:00,286.54,56.10200000000003,7
2012-10-03 08:00:00,2012-10-03 08:00:00,286.16,55.41799999999995,8
2012-10-03 09:00:00,2012-10-03 09:00:00,285.31,53.88799999999998,9
2012-10-03 10:00:00,2012-10-03 10:00:00,284.3,52.06999999999999,10
2012-10-03 11:00:00,2012-10-03 11:00:00,283.96,51.45799999999991,11
2012-10-03 12:00:00,2012-10-03 12:00:00,283.595,50.80099999999999,12
2012-10-03 13:00:00,2012-10-03 13:00:00,283.23,50.144000000000005,13
2012-10-03 14:00:00,2012-10-03 14:00:00,283.5,50.62999999999994,14
2012-10-03 15:00:00,2012-10-03 15:00:00,284.57,52.55599999999998,15
2012-10-03 16:00:00,2012-10-03 16:00:00,285.64,54.481999999999914,16
2012-10-03 17:00:00,2012-10-03 17:00:00,286.71,56.40799999999996,17
2012-10-03 18:00:00,2012-10-03 18:00:00,287.42,57.68599999999998,18
2012-10-03 19:00:00,2012-10-03 19:00:00,288.61,59.82800000000003,19
2012-10-03 20:00:00,2012-10-03 20:00:00,289.13,60.76399999999995,20
2012-10-03 21:00:00,2012-10-03 21:00:00,289.41,61.26799999999997,21
2012-10-03 22:00:00,2012-10-03 22:00:00,289.18,60.853999999999985,22
2012-10-03 23:00:00,2012-10-03 23:00:00,288.95,60.439999999999884,23
2012-10-04 00:00:00,2012-10-04 00:00:00,288.79,60.15199999999999,0
2012-10-04 01:00:00,2012-10-04 01:00:00,287.47,57.77600000000001,1
2012-10-04 02:00:00,2012-10-04 02:00:00,286.01,55.14799999999997,2
2012-10-04 03:00:00,2012-10-04 03:00:00,284.85,53.06,3
2012-10-04 04:00:00,2012-10-04 04:00:00,283.91,51.367999999999995,4
2012-10-04 05:00:00,2012-10-04 05:00:00,283.31,50.287999999999954,5
2012-10-04 06:00:00,2012-10-04 06:00:00,283.07,49.85599999999994,6
